sep=,
"Time","Light"
2022-04-04 09:26:44,508.6 lux
2022-04-04 09:26:45,509.8 lux
2022-04-04 09:26:46,509.8 lux
2022-04-04 09:26:47,509.8 lux
2022-04-04 09:26:48,509.8 lux
2022-04-04 09:26:49,509.8 lux
2022-04-04 09:26:50,512.6 lux
2022-04-04 09:26:51,511.5 lux
2022-04-04 09:26:52,509.8 lux
2022-04-04 09:26:53,509.8 lux
2022-04-04 09:26:54,512.1 lux
2022-04-04 09:26:55,509.8 lux
2022-04-04 09:26:56,511.2 lux
2022-04-04 09:26:57,510.6 lux
2022-04-04 09:26:58,509.8 lux
2022-04-04 09:26:59,508.9 lux
2022-04-04 09:27:00,506.9 lux
2022-04-04 09:27:01,506.9 lux
2022-04-04 09:27:02,506.9 lux
2022-04-04 09:27:03,506.9 lux
2022-04-04 09:27:04,506.9 lux
2022-04-04 09:27:05,506.9 lux
2022-04-04 09:27:06,506.9 lux
2022-04-04 09:27:07,506.9 lux
2022-04-04 09:27:08,506.9 lux
2022-04-04 09:27:09,506.9 lux
2022-04-04 09:27:10,504.0 lux
2022-04-04 09:27:11,501.1 lux
2022-04-04 09:27:12,501.1 lux
2022-04-04 09:27:13,501.1 lux
2022-04-04 09:27:14,501.1 lux
2022-04-04 09:27:15,501.1 lux
2022-04-04 09:27:16,500.0 lux
2022-04-04 09:27:17,498.2 lux
2022-04-04 09:27:18,498.2 lux
2022-04-04 09:27:19,494.8 lux
2022-04-04 09:27:20,492.5 lux
2022-04-04 09:27:21,490.8 lux
2022-04-04 09:27:22,489.6 lux
2022-04-04 09:27:23,489.0 lux
2022-04-04 09:27:24,485.6 lux
2022-04-04 09:27:25,485.6 lux
2022-04-04 09:27:26,484.4 lux
2022-04-04 09:27:27,483.3 lux
2022-04-04 09:27:28,481.0 lux
2022-04-04 09:27:29,479.2 lux
2022-04-04 09:27:30,478.1 lux
2022-04-04 09:27:31,475.2 lux
2022-04-04 09:27:32,475.2 lux
2022-04-04 09:27:33,475.2 lux
2022-04-04 09:27:34,472.9 lux
2022-04-04 09:27:35,475.8 lux
2022-04-04 09:27:36,476.9 lux
2022-04-04 09:27:37,475.2 lux
2022-04-04 09:27:38,475.2 lux
2022-04-04 09:27:39,472.0 lux
2022-04-04 09:27:40,467.4 lux
2022-04-04 09:27:41,469.4 lux
2022-04-04 09:27:42,465.4 lux
2022-04-04 09:27:43,464.0 lux
2022-04-04 09:27:44,466.6 lux
2022-04-04 09:27:45,465.1 lux
2022-04-04 09:27:46,461.7 lux
2022-04-04 09:27:47,460.5 lux
2022-04-04 09:27:48,458.8 lux
2022-04-04 09:27:49,459.4 lux
2022-04-04 09:27:50,457.9 lux
2022-04-04 09:27:51,457.9 lux
2022-04-04 09:27:52,457.1 lux
2022-04-04 09:27:53,453.6 lux
2022-04-04 09:27:54,452.2 lux
2022-04-04 09:27:55,449.6 lux
2022-04-04 09:27:56,448.4 lux
2022-04-04 09:27:57,446.4 lux
2022-04-04 09:27:58,446.4 lux
2022-04-04 09:27:59,446.4 lux
2022-04-04 09:28:00,445.5 lux
2022-04-04 09:28:01,444.7 lux
2022-04-04 09:28:02,446.4 lux
2022-04-04 09:28:03,448.7 lux
2022-04-04 09:28:04,449.3 lux
2022-04-04 09:28:05,448.1 lux
2022-04-04 09:28:06,448.1 lux
2022-04-04 09:28:07,449.3 lux
2022-04-04 09:28:08,445.2 lux
2022-04-04 09:28:09,440.6 lux
2022-04-04 09:28:10,438.9 lux
2022-04-04 09:28:11,437.8 lux
2022-04-04 09:28:12,434.9 lux
2022-04-04 09:28:13,433.7 lux
2022-04-04 09:28:14,432.0 lux
2022-04-04 09:28:15,432.0 lux
2022-04-04 09:28:16,432.0 lux
2022-04-04 09:28:17,433.2 lux
2022-04-04 09:28:18,434.9 lux
2022-04-04 09:28:19,437.2 lux
2022-04-04 09:28:20,438.3 lux
2022-04-04 09:28:21,442.9 lux
2022-04-04 09:28:22,449.9 lux
2022-04-04 09:28:23,454.5 lux
2022-04-04 09:28:24,455.3 lux
2022-04-04 09:28:25,458.8 lux
2022-04-04 09:28:26,462.2 lux
2022-04-04 09:28:27,463.7 lux
2022-04-04 09:28:28,466.3 lux
2022-04-04 09:28:29,466.6 lux
2022-04-04 09:28:30,468.0 lux
2022-04-04 09:28:31,471.5 lux
2022-04-04 09:28:32,472.9 lux
2022-04-04 09:28:33,478.1 lux
2022-04-04 09:28:34,481.0 lux
2022-04-04 09:28:35,485.9 lux
2022-04-04 09:28:36,489.9 lux
2022-04-04 09:28:37,496.2 lux
2022-04-04 09:28:38,496.8 lux
2022-04-04 09:28:39,497.4 lux
2022-04-04 09:28:40,500.5 lux
2022-04-04 09:28:41,499.1 lux
2022-04-04 09:28:42,502.6 lux
2022-04-04 09:28:43,504.0 lux
2022-04-04 09:28:44,504.3 lux
2022-04-04 09:28:45,506.9 lux
2022-04-04 09:28:46,506.9 lux
2022-04-04 09:28:47,508.6 lux
2022-04-04 09:28:48,507.5 lux
2022-04-04 09:28:49,504.0 lux
2022-04-04 09:28:50,504.0 lux
2022-04-04 09:28:51,502.3 lux
2022-04-04 09:28:52,501.1 lux
2022-04-04 09:28:53,500.5 lux
2022-04-04 09:28:54,498.2 lux
2022-04-04 09:28:55,498.2 lux
2022-04-04 09:28:56,493.6 lux
2022-04-04 09:28:57,492.5 lux
2022-04-04 09:28:58,491.3 lux
2022-04-04 09:28:59,489.6 lux
2022-04-04 09:29:00,491.9 lux
2022-04-04 09:29:01,491.9 lux
2022-04-04 09:29:02,489.6 lux
2022-04-04 09:29:03,487.9 lux
2022-04-04 09:29:04,484.4 lux
2022-04-04 09:29:05,483.3 lux
2022-04-04 09:29:06,479.8 lux
2022-04-04 09:29:07,478.1 lux
2022-04-04 09:29:08,478.1 lux
2022-04-04 09:29:09,475.2 lux
2022-04-04 09:29:10,476.1 lux
2022-04-04 09:29:11,476.6 lux
2022-04-04 09:29:12,473.2 lux
2022-04-04 09:29:13,472.0 lux
2022-04-04 09:29:14,468.6 lux
2022-04-04 09:29:15,465.1 lux
2022-04-04 09:29:16,463.7 lux
2022-04-04 09:29:17,463.7 lux
2022-04-04 09:29:18,463.7 lux
2022-04-04 09:29:19,462.2 lux
2022-04-04 09:29:20,458.8 lux
2022-04-04 09:29:21,455.0 lux
2022-04-04 09:29:22,452.2 lux
2022-04-04 09:29:23,449.3 lux
2022-04-04 09:29:24,444.4 lux
2022-04-04 09:29:25,443.2 lux
2022-04-04 09:29:26,440.6 lux
2022-04-04 09:29:27,440.6 lux
2022-04-04 09:29:28,440.6 lux
2022-04-04 09:29:29,435.5 lux
2022-04-04 09:29:30,434.9 lux
2022-04-04 09:29:31,434.9 lux
2022-04-04 09:29:32,432.9 lux
2022-04-04 09:29:33,434.3 lux
2022-04-04 09:29:34,428.5 lux
2022-04-04 09:29:35,427.4 lux
2022-04-04 09:29:36,425.7 lux
2022-04-04 09:29:37,421.1 lux
2022-04-04 09:29:38,421.1 lux
2022-04-04 09:29:39,421.1 lux
2022-04-04 09:29:40,417.6 lux
2022-04-04 09:29:41,415.3 lux
2022-04-04 09:29:42,411.3 lux
2022-04-04 09:29:43,409.0 lux
2022-04-04 09:29:44,405.5 lux
2022-04-04 09:29:45,400.9 lux
2022-04-04 09:29:46,396.9 lux
2022-04-04 09:29:47,391.1 lux
2022-04-04 09:29:48,385.9 lux
2022-04-04 09:29:49,381.3 lux
