sep=,
"Time","Noise"
2022-04-04 09:25:10,0.0323 Vrms
2022-04-04 09:25:11,0.0309 Vrms
2022-04-04 09:25:12,0.0312 Vrms
2022-04-04 09:25:13,0.0309 Vrms
2022-04-04 09:25:14,0.0316 Vrms
2022-04-04 09:25:15,0.0352 Vrms
2022-04-04 09:25:16,0.0301 Vrms
2022-04-04 09:25:17,0.0312 Vrms
2022-04-04 09:25:18,0.0300 Vrms
2022-04-04 09:25:19,0.0326 Vrms
2022-04-04 09:25:20,0.0280 Vrms
2022-04-04 09:25:21,0.0318 Vrms
2022-04-04 09:25:22,0.0312 Vrms
2022-04-04 09:25:23,0.0306 Vrms
2022-04-04 09:25:24,0.0290 Vrms
2022-04-04 09:25:25,0.0305 Vrms
2022-04-04 09:25:26,0.0265 Vrms
2022-04-04 09:25:27,0.0294 Vrms
2022-04-04 09:25:28,0.0336 Vrms
2022-04-04 09:25:29,0.0285 Vrms
2022-04-04 09:25:30,0.0286 Vrms
2022-04-04 09:25:31,0.0329 Vrms
2022-04-04 09:25:32,0.0290 Vrms
2022-04-04 09:25:33,0.0387 Vrms
2022-04-04 09:25:34,0.0305 Vrms
2022-04-04 09:25:35,0.0324 Vrms
2022-04-04 09:25:36,0.0299 Vrms
2022-04-04 09:25:37,0.0313 Vrms
2022-04-04 09:25:38,0.0379 Vrms
2022-04-04 09:25:39,0.0307 Vrms
2022-04-04 09:25:40,0.0319 Vrms
2022-04-04 09:25:41,0.0315 Vrms
2022-04-04 09:25:42,0.0320 Vrms
2022-04-04 09:25:43,0.0336 Vrms
2022-04-04 09:25:44,0.0311 Vrms
2022-04-04 09:25:45,0.0313 Vrms
2022-04-04 09:25:46,0.0315 Vrms
2022-04-04 09:25:47,0.0320 Vrms
2022-04-04 09:25:48,0.0312 Vrms
2022-04-04 09:25:49,0.0319 Vrms
2022-04-04 09:25:50,0.0322 Vrms
2022-04-04 09:25:51,0.0310 Vrms
2022-04-04 09:25:52,0.0293 Vrms
2022-04-04 09:25:53,0.0305 Vrms
2022-04-04 09:25:54,0.0286 Vrms
2022-04-04 09:25:55,0.0286 Vrms
2022-04-04 09:25:56,0.0323 Vrms
2022-04-04 09:25:57,0.0339 Vrms
2022-04-04 09:25:58,0.0331 Vrms
2022-04-04 09:25:59,0.0291 Vrms
2022-04-04 09:26:00,0.0299 Vrms
2022-04-04 09:26:01,0.0328 Vrms
2022-04-04 09:26:02,0.0320 Vrms
2022-04-04 09:26:03,0.0342 Vrms
2022-04-04 09:26:04,0.0328 Vrms
2022-04-04 09:26:05,0.0346 Vrms
2022-04-04 09:26:06,0.0338 Vrms
2022-04-04 09:26:07,0.0319 Vrms
2022-04-04 09:26:08,0.0333 Vrms
2022-04-04 09:26:09,0.0300 Vrms
2022-04-04 09:26:10,0.0300 Vrms
2022-04-04 09:26:11,0.0290 Vrms
2022-04-04 09:26:12,0.0265 Vrms
2022-04-04 09:26:13,0.0334 Vrms
2022-04-04 09:26:14,0.0313 Vrms
2022-04-04 09:26:15,0.0282 Vrms
2022-04-04 09:26:16,0.0290 Vrms
2022-04-04 09:26:17,0.0294 Vrms
2022-04-04 09:26:18,0.0281 Vrms
2022-04-04 09:26:19,0.0269 Vrms
2022-04-04 09:26:20,0.0300 Vrms
2022-04-04 09:26:21,0.0338 Vrms
2022-04-04 09:26:22,0.0296 Vrms
2022-04-04 09:26:23,0.0329 Vrms
2022-04-04 09:26:24,0.0294 Vrms
2022-04-04 09:26:25,0.0312 Vrms
2022-04-04 09:26:26,0.0292 Vrms
2022-04-04 09:26:27,0.0309 Vrms
2022-04-04 09:26:28,0.0275 Vrms
2022-04-04 09:26:29,0.0290 Vrms
2022-04-04 09:26:30,0.0284 Vrms
2022-04-04 09:26:31,0.0306 Vrms
2022-04-04 09:26:32,0.0293 Vrms
2022-04-04 09:26:33,0.0291 Vrms
2022-04-04 09:26:34,0.0261 Vrms
2022-04-04 09:26:35,0.0276 Vrms
2022-04-04 09:26:36,0.0290 Vrms
2022-04-04 09:26:37,0.0266 Vrms
2022-04-04 09:26:38,0.0294 Vrms
2022-04-04 09:26:39,0.0285 Vrms
2022-04-04 09:26:40,0.0273 Vrms
2022-04-04 09:26:41,0.0334 Vrms
2022-04-04 09:26:42,0.0271 Vrms
2022-04-04 09:26:43,0.0299 Vrms
2022-04-04 09:26:44,0.0311 Vrms
2022-04-04 09:26:45,0.0244 Vrms
2022-04-04 09:26:46,0.0275 Vrms
2022-04-04 09:26:47,0.0287 Vrms
2022-04-04 09:26:48,0.0315 Vrms
2022-04-04 09:26:49,0.0294 Vrms
2022-04-04 09:26:50,0.0309 Vrms
2022-04-04 09:26:51,0.0293 Vrms
2022-04-04 09:26:52,0.0305 Vrms
2022-04-04 09:26:53,0.0323 Vrms
2022-04-04 09:26:54,0.0358 Vrms
2022-04-04 09:26:55,0.0301 Vrms
2022-04-04 09:26:56,0.0275 Vrms
2022-04-04 09:26:57,0.0290 Vrms
2022-04-04 09:26:58,0.0275 Vrms
2022-04-04 09:26:59,0.0282 Vrms
2022-04-04 09:27:00,0.0297 Vrms
2022-04-04 09:27:01,0.0346 Vrms
2022-04-04 09:27:02,0.0324 Vrms
2022-04-04 09:27:03,0.0320 Vrms
2022-04-04 09:27:04,0.0352 Vrms
2022-04-04 09:27:05,0.0317 Vrms
2022-04-04 09:27:06,0.0346 Vrms
2022-04-04 09:27:07,0.0283 Vrms
2022-04-04 09:27:08,0.0299 Vrms
2022-04-04 09:27:09,0.0357 Vrms
2022-04-04 09:27:10,0.0322 Vrms
2022-04-04 09:27:11,0.0279 Vrms
2022-04-04 09:27:12,0.0259 Vrms
2022-04-04 09:27:13,0.0314 Vrms
2022-04-04 09:27:14,0.0307 Vrms
2022-04-04 09:27:15,0.0294 Vrms
2022-04-04 09:27:16,0.0280 Vrms
2022-04-04 09:27:17,0.0277 Vrms
2022-04-04 09:27:18,0.0273 Vrms
2022-04-04 09:27:19,0.0283 Vrms
2022-04-04 09:27:20,0.0288 Vrms
2022-04-04 09:27:21,0.0291 Vrms
2022-04-04 09:27:22,0.0310 Vrms
2022-04-04 09:27:23,0.0290 Vrms
2022-04-04 09:27:24,0.0304 Vrms
2022-04-04 09:27:25,0.0302 Vrms
2022-04-04 09:27:26,0.0276 Vrms
2022-04-04 09:27:27,0.0275 Vrms
2022-04-04 09:27:28,0.0280 Vrms
2022-04-04 09:27:29,0.0290 Vrms
2022-04-04 09:27:30,0.0281 Vrms
2022-04-04 09:27:31,0.0306 Vrms
2022-04-04 09:27:32,0.0297 Vrms
2022-04-04 09:27:33,0.0283 Vrms
2022-04-04 09:27:34,0.0270 Vrms
2022-04-04 09:27:35,0.0310 Vrms
2022-04-04 09:27:36,0.0278 Vrms
2022-04-04 09:27:37,0.0301 Vrms
2022-04-04 09:27:38,0.0309 Vrms
2022-04-04 09:27:39,0.0305 Vrms
2022-04-04 09:27:40,0.0326 Vrms
2022-04-04 09:27:41,0.0298 Vrms
2022-04-04 09:27:42,0.0274 Vrms
2022-04-04 09:27:43,0.0355 Vrms
2022-04-04 09:27:44,0.0318 Vrms
2022-04-04 09:27:45,0.0313 Vrms
2022-04-04 09:27:46,0.0318 Vrms
2022-04-04 09:27:47,0.0287 Vrms
2022-04-04 09:27:48,0.0297 Vrms
2022-04-04 09:27:49,0.0316 Vrms
2022-04-04 09:27:50,0.0324 Vrms
2022-04-04 09:27:51,0.0251 Vrms
2022-04-04 09:27:52,0.0320 Vrms
2022-04-04 09:27:53,0.0301 Vrms
2022-04-04 09:27:54,0.0283 Vrms
2022-04-04 09:27:55,0.0273 Vrms
2022-04-04 09:27:56,0.0301 Vrms
2022-04-04 09:27:57,0.0277 Vrms
2022-04-04 09:27:58,0.0262 Vrms
2022-04-04 09:27:59,0.0293 Vrms
2022-04-04 09:28:00,0.0283 Vrms
2022-04-04 09:28:01,0.0292 Vrms
2022-04-04 09:28:02,0.0276 Vrms
2022-04-04 09:28:03,0.0288 Vrms
2022-04-04 09:28:04,0.0411 Vrms
2022-04-04 09:28:05,0.0567 Vrms
2022-04-04 09:28:06,0.0502 Vrms
2022-04-04 09:28:07,0.0399 Vrms
2022-04-04 09:28:08,0.0340 Vrms
2022-04-04 09:28:09,0.0281 Vrms
2022-04-04 09:28:10,0.0314 Vrms
2022-04-04 09:28:11,0.0269 Vrms
2022-04-04 09:28:12,0.0300 Vrms
2022-04-04 09:28:13,0.0292 Vrms
2022-04-04 09:28:14,0.0340 Vrms
2022-04-04 09:28:15,0.0361 Vrms
2022-04-04 09:28:16,0.0308 Vrms
2022-04-04 09:28:17,0.0316 Vrms
2022-04-04 09:28:18,0.0328 Vrms
